name,current_price,high_24h,market_cap
Bitcoin,10306.13,10673.83,184509642786
Ethereum,188.78,194.0,20295108812
XRP,0.270509,0.278334,11610614125
Bitcoin Cash,309.54,314.64,5550783775
Litecoin,73.5,74.99,4639879077
Binance Coin,25.95,27.12,4034653667
EOS,3.59,3.69,3660619010
Tether,0.998866,1.02,3555419342
Bitcoin SV,133.84,137.21,2404481324
Cardano,0.04988038,0.051372,1552418013
Monero,81.2,83.68,1393996731
Stellar,0.070661,0.072754,1387315859
TRON,0.01776604,0.01799331,1174941997
LEO Token,1.18,1.21,1173936278
Huobi Token,4.65,4.9,1143975425
Tezos,1.15,1.18,924593106
OKB,2.95,3.0,883639963
Dash,91.5,94.31,823966380
Ethereum Classic,7.27,7.41,821688761
ChainLink,2.08,2.15,758497986
IOTA,0.264413,0.275858,735261721
NEO,9.8,9.95,691286558
Cosmos,2.64,2.7,641954519
Ontology,0.804406,0.837953,523463097
NEM,0.05473,0.056285,492564430
USD Coin,1.0,1.02,431215428
Crypto.com Chain,0.04309685,0.04331869,401154920
Maker,516.14,520.86,383938703
Zcash,51.85,53.17,377232194
V.SYSTEMS,0.186158,0.190583,333159084
Dogecoin,0.00263506,0.00274797,318656098
Decred,24.65,25.16,253887124
VeChain,0.00450795,0.00466039,250062105
Basic Attention Token,0.189697,0.195045,242962421
Qtum,2.52,2.61,242264495
Lambda,0.163622,0.170889,231641186
Bitcoin Gold,13.01,13.69,227812743
Paxos Standard,0.999407,1.02,200694408
TrueUSD,0.999749,1.02,194512575
OmiseGO,1.22,1.28,171063915
Lisk,1.2,1.21,161207229
Algorand,0.536211,0.557579,156198785
Holo,0.00086376,0.0009377,153163712
Ravencoin,0.03518831,0.03679111,150312602
Nano,1.03,1.06,136865033
KuCoin Shares,1.52,1.57,134368407
Bytom,0.086698,0.090842,132411168
Bitcoin Diamond,0.696304,0.715323,131007221
BitTorrent,0.00061325,0.00063279,130081276
Waves,1.29,1.32,129484941
Theta Network,0.121897,0.126221,121903512
Energi,6.01,6.3,120354368
ICON,0.238844,0.239388,117067959
BitShares,0.03966084,0.04126028,107484198
DigiByte,0.00892432,0.00921892,107345338
0x,0.178682,0.184881,107309472
Augur,9.64,9.81,105901365
HyperCash,2.34,2.52,103421848
Pundi X,0.00043552,0.00044673,102810869
MonaCoin,1.43,1.47,100402294
IOST,0.00833992,0.00852778,100186986
Bytecoin,0.00053337,0.0006241,98067482
Komodo,0.840806,0.855721,97185516
Siacoin,0.00203377,0.00217958,85076388
Verge,0.00533124,0.00549024,84873575
Aeternity,0.244397,0.252492,79727941
Dai,1.01,1.02,79312857
Zilliqa,0.00839975,0.00884074,77246188
MaidSafeCoin,0.166262,0.169839,75062793
Egretia,0.01844071,0.0200973,71994471
RIF Token,0.148577,0.158304,71016806
Nash Exchange,2.44,2.52,69260596
Quant,6.94,7.02,69194257
Status,0.01845381,0.01866016,65345757
Ardor,0.065399,0.071848,65338779
Bitmax Token,0.106411,0.109928,65283102
Aurora,0.01467537,0.0167248,63766451
Metaverse ETP,0.824056,0.844672,63022225
REN,0.07475,0.08045,61489293
GXChain,0.910502,0.960018,59891471
Enjin Coin,0.067296,0.069895,58970168
Steem,0.181033,0.198394,58588768
Wanchain,0.544549,0.544887,57805221
Golem,0.058987,0.067391,56915715
Crypto.com,3.59,3.57,56623083
YOU Chain,0.076327,0.089262,56059688
Zcoin,6.71,7.09,55288017
Wixlar,0.02245915,0.0327001,53713501
WINk,0.00031171,0.00032468,52817635
QuarkChain,0.01305464,0.01375361,52263972
Decentraland,0.03765667,0.03876314,49984865
WAX,0.051173,0.05424,48614233
BEAM,1.46,1.54,48388217
Grin,2.3,2.45,44343422
LITEX,0.04399894,0.04496384,42825633
TomoChain,0.643347,0.742585,41432520
NEXO,0.073149,0.074736,40963105
Stratis,0.407893,0.413299,40637223
XMax,0.00150345,0.00168152,40593240
Waltonchain,1.38,1.43,40375836
